row_type,system_organ_class,preferred_term,n_subjects,percent,n_events
Overall,Subjects with at least one TEAE,NA,420,92.71523178807946,8743
SOC,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,NA,259,57.17439293598234,1514
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,FATIGUE,125,27.59381898454746,653
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,ASTHENIA,80,17.660044150110377,305
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,OEDEMA PERIPHERAL,54,11.920529801324504,261
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,PYREXIA,43,9.492273730684326,75
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,NON-CARDIAC CHEST PAIN,26,5.739514348785872,70
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,PAIN,11,2.4282560706401766,26
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INFLUENZA LIKE ILLNESS,8,1.7660044150110374,11
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,CHEST DISCOMFORT,6,1.3245033112582782,12
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,DISEASE PROGRESSION,5,1.1037527593818985,5
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,FACE OEDEMA,5,1.1037527593818985,10
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,OEDEMA,5,1.1037527593818985,17
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,CHILLS,4,0.8830022075055187,5
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INFUSION SITE EXTRAVASATION,4,0.8830022075055187,9
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,MALAISE,4,0.8830022075055187,6
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,CHEST PAIN,3,0.6622516556291391,6
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INJECTION SITE REACTION,3,0.6622516556291391,6
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,GENERALISED OEDEMA,2,0.44150110375275936,8
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,LOCALISED OEDEMA,2,0.44150110375275936,2
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,CATHETER SITE ERYTHEMA,1,0.22075055187637968,2
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,DEVICE OCCLUSION,1,0.22075055187637968,1
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,GAIT DISTURBANCE,1,0.22075055187637968,7
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,GRANULOMA,1,0.22075055187637968,1
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,GRAVITATIONAL OEDEMA,1,0.22075055187637968,1
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INFUSION RELATED REACTION,1,0.22075055187637968,1
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INJECTION SITE EXTRAVASATION,1,0.22075055187637968,2
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,INJECTION SITE PHLEBITIS,1,0.22075055187637968,2
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,TENDERNESS,1,0.22075055187637968,6
Preferred Term,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,THROMBOSIS IN DEVICE,1,0.22075055187637968,4
SOC,GASTROINTESTINAL DISORDERS,NA,220,48.565121412803535,1013
Preferred Term,GASTROINTESTINAL DISORDERS,DIARRHOEA,105,23.178807947019866,227
Preferred Term,GASTROINTESTINAL DISORDERS,NAUSEA,89,19.646799116997794,209
Preferred Term,GASTROINTESTINAL DISORDERS,STOMATITIS,67,14.79028697571744,134
Preferred Term,GASTROINTESTINAL DISORDERS,VOMITING,55,12.141280353200884,85
Preferred Term,GASTROINTESTINAL DISORDERS,CONSTIPATION,54,11.920529801324504,113
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN,26,5.739514348785872,54
Preferred Term,GASTROINTESTINAL DISORDERS,DRY MOUTH,11,2.4282560706401766,37
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN UPPER,7,1.5452538631346577,12
Preferred Term,GASTROINTESTINAL DISORDERS,DYSPEPSIA,7,1.5452538631346577,13
Preferred Term,GASTROINTESTINAL DISORDERS,DYSPHAGIA,6,1.3245033112582782,9
Preferred Term,GASTROINTESTINAL DISORDERS,ODYNOPHAGIA,4,0.8830022075055187,6
Preferred Term,GASTROINTESTINAL DISORDERS,OESOPHAGITIS,4,0.8830022075055187,11
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL DISCOMFORT,3,0.6622516556291391,5
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL DISTENSION,3,0.6622516556291391,14
Preferred Term,GASTROINTESTINAL DISORDERS,CHEILITIS,3,0.6622516556291391,5
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN LOWER,2,0.44150110375275936,6
Preferred Term,GASTROINTESTINAL DISORDERS,ASCITES,2,0.44150110375275936,4
Preferred Term,GASTROINTESTINAL DISORDERS,FLATULENCE,2,0.44150110375275936,3
Preferred Term,GASTROINTESTINAL DISORDERS,GASTRITIS,2,0.44150110375275936,2
Preferred Term,GASTROINTESTINAL DISORDERS,GASTROOESOPHAGEAL REFLUX DISEASE,2,0.44150110375275936,10
Preferred Term,GASTROINTESTINAL DISORDERS,ORAL PAIN,2,0.44150110375275936,4
Preferred Term,GASTROINTESTINAL DISORDERS,PERIODONTITIS,2,0.44150110375275936,9
Preferred Term,GASTROINTESTINAL DISORDERS,RECTAL HAEMORRHAGE,2,0.44150110375275936,2
Preferred Term,GASTROINTESTINAL DISORDERS,TOOTHACHE,2,0.44150110375275936,8
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL HERNIA,1,0.22075055187637968,1
Preferred Term,GASTROINTESTINAL DISORDERS,ABDOMINAL TENDERNESS,1,0.22075055187637968,3
Preferred Term,GASTROINTESTINAL DISORDERS,APHTHOUS STOMATITIS,1,0.22075055187637968,1
Preferred Term,GASTROINTESTINAL DISORDERS,CHAPPED LIPS,1,0.22075055187637968,2
Preferred Term,GASTROINTESTINAL DISORDERS,DUODENAL ULCER HAEMORRHAGE,1,0.22075055187637968,1
Preferred Term,GASTROINTESTINAL DISORDERS,FAECAL INCONTINENCE,1,0.22075055187637968,2
Preferred Term,GASTROINTESTINAL DISORDERS,GASTROINTESTINAL HYPOMOTILITY,1,0.22075055187637968,1
Preferred Term,GASTROINTESTINAL DISORDERS,GINGIVAL BLEEDING,1,0.22075055187637968,3
Preferred Term,GASTROINTESTINAL DISORDERS,HAEMORRHOIDAL HAEMORRHAGE,1,0.22075055187637968,1
Preferred Term,GASTROINTESTINAL DISORDERS,HAEMORRHOIDS,1,0.22075055187637968,2
Preferred Term,GASTROINTESTINAL DISORDERS,IMPAIRED GASTRIC EMPTYING,1,0.22075055187637968,1
Preferred Term,GASTROINTESTINAL DISORDERS,LARGE INTESTINE PERFORATION,1,0.22075055187637968,1
Preferred Term,GASTROINTESTINAL DISORDERS,LIP DRY,1,0.22075055187637968,1
Preferred Term,GASTROINTESTINAL DISORDERS,MELAENA,1,0.22075055187637968,1
Preferred Term,GASTROINTESTINAL DISORDERS,OESOPHAGITIS ULCERATIVE,1,0.22075055187637968,1
Preferred Term,GASTROINTESTINAL DISORDERS,PANCREATIC CYST,1,0.22075055187637968,9
SOC,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",NA,209,46.136865342163354,1023
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",DYSPNOEA,89,19.646799116997794,286
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",COUGH,84,18.543046357615893,330
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",HAEMOPTYSIS,25,5.518763796909492,39
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",EPISTAXIS,24,5.298013245033113,61
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",DYSPHONIA,16,3.532008830022075,68
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",OROPHARYNGEAL PAIN,11,2.4282560706401766,21
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PRODUCTIVE COUGH,10,2.207505518763797,33
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",CHRONIC OBSTRUCTIVE PULMONARY DISEASE,9,1.9867549668874172,18
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",DYSPNOEA EXERTIONAL,9,1.9867549668874172,26
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PLEURAL EFFUSION,8,1.7660044150110374,15
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PULMONARY EMBOLISM,8,1.7660044150110374,21
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",HICCUPS,4,0.8830022075055187,10
Preferred Term,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PNEUMOTHORAX,4,0.8830022075055187,13
